Zielona i spokojna okolica, idealne dla rodzin;Kraków , Bieżanów-Prokocim, Bieżanów;2 pokoje;275 572,50 zł;38,01 m²;7 250 zł/m²;https://www.otodom.pl/oferta/zielona-i-spokojna-okolica-idealne-dla-rodzin-ID44DI9.html#de3f47c1fe;2020-02-15 13:32:04.608037
Piękne mieszkanie, warte ceny, okazja;Kraków , Prądnik Biały;3 pokoje;410 688 zł;44,64 m²;9 200 zł/m²;https://www.otodom.pl/oferta/piekne-mieszkanie-warte-ceny-okazja-ID44Ghn.html#de3f47c1fe;2020-02-15 13:32:04.608037
Mieszkanie 122m2 na kancelarię, gabinet, Krowodrza;Kraków , Krowodrza;4 pokoje;1 500 000 zł;122,07 m²;12 288 zł/m²;https://www.otodom.pl/oferta/mieszkanie-122m2-na-kancelarie-gabinet-krowodrza-ID44HEu.html#de3f47c1fe;2020-02-15 13:32:04.608037
Olsza - kawalerka do remontu, mpec;Kraków , Grzegórzki, Olsza;1 pokój;250 000 zł;27 m²;9 259 zł/m²;https://www.otodom.pl/oferta/olsza-kawalerka-do-remontu-mpec-ID44s4I.html#de3f47c1fe;2020-02-15 13:32:04.608037
Mieszkanie 46m Adama Bochenka od WŁAŚCICIELA;Kraków , Podgórze Duchackie, Piaski Wielkie;3 pokoje;446 000 zł;46 m²;9 696 zł/m²;https://www.otodom.pl/oferta/mieszkanie-46m-adama-bochenka-od-wlasciciela-ID44FtY.html#de3f47c1fe;2020-02-15 13:32:04.608037
Stare Miasto - gotowa kawalerka pod wynajem;Kraków , Stare Miasto;1 pokój;379 000 zł;27,83 m²;13 618 zł/m²;https://www.otodom.pl/oferta/stare-miasto-gotowa-kawalerka-pod-wynajem-ID3NZ3q.html#de3f47c1fe;2020-02-15 13:32:04.608037
Nowa inwestycja - 5 apart. na sprzedaż.;Kraków , Podgórze;5 pokoi;1 760 000 zł;114 m²;15 439 zł/m²;https://www.otodom.pl/oferta/nowa-inwestycja-5-apart-na-sprzedaz-ID44o2C.html#bcc2421ba9;2020-02-15 13:32:05.691974
Jesionova mieszkanie A2M3;Kraków , Zwierzyniec;4 pokoje;Zapytaj o cenę;131,03 m²;https://www.otodom.pl/oferta/jesionova-mieszkanie-a2m3-ID42gHI.html#bcc2421ba9;2020-02-15 13:32:05.691974
Mieszkanie, 119 m², Kraków;Kraków , Krowodrza;4 pokoje;1 690 000 zł;119 m²;14 202 zł/m²;https://www.otodom.pl/oferta/mieszkanie-119-m-krakow-ID433oF.html#bcc2421ba9;2020-02-15 13:32:05.691974
Mieszkanie 2 pokoje, Mistrzejowice, TBS;Kraków , Mistrzejowice;2 pokoje;150 000 zł;41 m²;3 659 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pokoje-mistrzejowice-tbs-ID44HDY.html#bcc2421ba9;2020-02-15 13:32:05.691974
Rozkładowe, wykończone mieszkanie;Kraków , Stare Miasto;2 pokoje;420 000 zł;44,50 m²;9 438 zł/m²;https://www.otodom.pl/oferta/rozkladowe-wykonczone-mieszkanie-ID44sOo.html#bcc2421ba9;2020-02-15 13:32:05.691974
