;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist;cena_za_metr2
740;Kawalerka, 28m2, Kraków Kliny ul. Borkowska, 2010r;Kraków , Dębniki, Kliny-Zacisze;1 pokój;255000.0;28.0;9107.0;https://www.otodom.pl/oferta/kawalerka-28m2-krakow-kliny-ul-borkowska-2010r-ID44HFH.html#de3f47c1fe;2020-02-15 13:29:14.722105;"""Kraków""";"Kraków , Dębniki, Kliny-Zacisze, ""Kraków""";Przedsiębiorstwo Usług Komunalnych Zakład Pogrzebowy - PUK Kraków, 31A, Skośna, Kobierzyn, Dębniki, Kraków, województwo małopolskie, 30-383, Polska;(50.00969645000001, 19.905901803626172, 0.0);50.00969645000001;19.905901803626172;0.0;POINT (564890.3258006682 238439.2651748592);6148;3245.5734177742147;1330.9922557416894;9107.0
741;Sprzedam 45 m2 Czyżyny 2 Pułku Lotniczego;Kraków , Nowa Huta, Czyżyny;1 pokój;449000.0;45.0;9978.0;https://www.otodom.pl/oferta/sprzedam-45-m2-czyzyny-2-pulku-lotniczego-ID44AOW.html#de3f47c1fe;2020-02-15 14:20:19.486662;Lotniczego;Kraków , Nowa Huta, Czyżyny, Lotniczego;Osiedle 2. Pułku Lotniczego, Czyżyny, Kraków, województwo małopolskie, Polska;(50.077365900000004, 20.008722110064895, 0.0);50.0773659;20.00872211006489;0.0;POINT (572153.7719664695 246054.9480282022);5366;2221.8146965901037;413.1357738651576;9978.0
742;Apartament Wiślane Tarasy - bezpośrednio;Kraków , Grzegórzki;3 pokoje;1022000.0;70.5;14496.0;https://www.otodom.pl/oferta/apartament-wislane-tarasy-bezposrednio-ID44IiR.html#de3f47c1fe;2020-02-16 19:04:08.766178;Wiślana;Kraków , Grzegórzki, Wiślana;Mierzeja Wiślana, Mały Płaszów, Podgórze, Kraków, województwo małopolskie, 30-716, Polska;(50.038134, 20.0042085, 0.0);50.038134;20.0042085;0.0;POINT (571889.5218590654 241689.9986086423);5368;859.5381344545566;289.27065938745534;14496.0
743;Mieszkanie na sprzedaż, Kraków, Prądnik Czerwony,;Kraków , małopolskie;2 pokoje;390000.0;44.7;8725.0;https://www.otodom.pl/oferta/mieszkanie-na-sprzedaz-krakow-pradnik-czerwony-ID44IhB.html#de3f47c1fe;2020-02-16 19:04:08.766178;Prądnika;Kraków , małopolskie, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.986793558960628;0.0;POINT (570561.786040339 247810.2744327188);5006;3677.9595062709154;707.4642569890632;8725.0
744;Mieszkanie 52,2m, Kraków Prądnik Biały;Kraków , Prądnik Biały;2 pokoje;420000.0;52.2;8046.0;https://www.otodom.pl/oferta/mieszkanie-52-2m-krakow-pradnik-bialy-ID44Iev.html#de3f47c1fe;2020-02-16 19:04:08.766178;"""Kraków""";"Kraków , Prądnik Biały, ""Kraków""";Obiekt Radionawigacyjny Krakow NDB, Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.09566385, 19.912793398315383, 0.0);50.09566385;19.912793398315387;0.0;POINT (565267.2553505549 248000.5239568567);4253;4676.927697786241;1528.0589948601728;8046.0
745;Przytulne mieszkanie przy ul. Gustawa Morcinka;Kraków , Wzgórza Krzesławickie, Zesławice;2 pokoje;299000.0;39.0;7667.0;https://www.otodom.pl/oferta/przytulne-mieszkanie-przy-ul-gustawa-morcinka-ID44re1.html#de3f47c1fe;2020-02-16 19:04:08.766178;Morcinka;Kraków , Wzgórza Krzesławickie, Zesławice, Morcinka;Gustawa Morcinka, Zesławice, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-762, Polska;(50.1047809, 20.0362743, 0.0);50.1047809;20.0362743;0.0;POINT (574082.2602686308 249129.0941129019);8536;5269.02299007348;1728.8905805069128;7667.0
746;Apartament 4 pokoje w sercu Krakowa tuż przy Rynku;Kraków , Stare Miasto;4 pokoje;1999989.0;83.56;23935.0;https://www.otodom.pl/oferta/apartament-4-pokoje-w-sercu-krakowa-tuz-przy-rynku-ID44IdP.html#de3f47c1fe;2020-02-16 19:04:08.766178;Krakowa;Kraków , Stare Miasto, Krakowa;Muzeum Historyczne Miasta Krakowa, 35, Rynek Główny, Stare Miasto, Kraków, województwo małopolskie, 31-013, Polska;(50.0627747, 19.936496, 0.0);50.06277470000001;19.936496;0.0;POINT (567007.8599429791 244365.8735910403);225;945.9751988803415;250.9157178106114;15000.0
747;Mieszkanie 3pok.55m2 oś.Bohaterów Września;Kraków , Mistrzejowice;3 pokoje;370000.0;55.0;6727.0;https://www.otodom.pl/oferta/mieszkanie-3pok-55m2-os-bohaterow-wrzesnia-ID44IbZ.html#de3f47c1fe;2020-02-16 19:04:08.767174;Września;Kraków , Mistrzejowice, Września;Osiedle Bohaterów Września, Mistrzejowice, Kraków, województwo małopolskie, 31-628, Polska;(50.0974443, 20.0080414, 0.0);50.0974443;20.0080414;0.0;POINT (572074.962236722 248286.0022401353);6434;4353.279307239683;358.0338647177536;6727.0
748;M3 do zamieszkania od zaraz – Ruczaj Czerwone Maki;Kraków , Podgórze;2 pokoje;499000.0;51.0;9784.0;https://www.otodom.pl/oferta/m3-do-zamieszkania-od-zaraz-ruczaj-czerwone-maki-ID44jRv.html#de3f47c1fe;2020-02-16 19:04:08.767174;Czerwona;Kraków , Podgórze, Czerwona;Gabinet Kosmetyczny Czerwona Pomarańcza, Raciborska, Kobierzyn, Dębniki, Kraków, województwo małopolskie, 30-348, Polska;(50.02091025, 19.90267781237101, 0.0);50.02091025;19.90267781237101;0.0;POINT (564644.3453342576 239682.8763784859);5122;1978.1642653575325;332.633211814908;9784.0
749;Kraków Prądnik Czerwony Ugorek 65m2Do Negocjacji;Kraków , Prądnik Czerwony, Rakowice;3 pokoje;530000.0;65.0;8154.0;https://www.otodom.pl/oferta/krakow-pradnik-czerwony-ugorek-65m2do-negocjacji-ID44I9K.html#de3f47c1fe;2020-02-16 19:04:08.767174;"""Kraków""";"Kraków , Prądnik Czerwony, Rakowice, ""Kraków""";AP Kraków 73, 8, Jerzego Bajana, Rakowice, Prądnik Czerwony, Kraków, województwo małopolskie, 31-465, Polska;(50.0794879, 19.973657, 0.0);50.0794879;19.973657;0.0;POINT (569642.5377134403 246257.5285112783);3271;2313.4534099401776;1124.3011303051642;8154.0
750;Ciche mieszkanie w centrum ul. Wrocławska, GOTOWE!;Kraków , Krowodrza;3 pokoje;708000.0;55.0;12873.0;https://www.otodom.pl/oferta/ciche-mieszkanie-w-centrum-ul-wroclawska-gotowe-ID44H6H.html#de3f47c1fe;2020-02-16 19:04:08.767174;Wrocławska;Kraków , Krowodrza, Wrocławska;Wrocławska, Stara Krowodrza, Krowodrza, Kraków, województwo małopolskie, 30-017, Polska;(50.0808192, 19.9179102, 0.0);50.0808192;19.9179102;0.0;POINT (565653.3926503791 246355.0193398139);2629;2988.141498126569;882.5825433040441;12873.0
751;Sprzedam mieszkanie bezpośrednio- 46m - Rydlówka29;Kraków , Podgórze;3 pokoje;589000.0;46.0;12804.0;https://www.otodom.pl/oferta/sprzedam-mieszkanie-bezposrednio-46m-rydlowka29-ID44xjk.html#bcc2421ba9;2020-02-16 19:04:09.543991;Rydlówka;Kraków , Podgórze, Rydlówka;Rydlówka, Mateczny, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-415, Polska;(50.0352782, 19.9349524, 0.0);50.0352782;19.9349524;0.0;POINT (566935.6490624668 241308.2663329504);2868;1078.1510350370095;324.46145984695704;12804.0
752;Apartament Sosnowiecka wykończony;Kraków , Bronowice;1 pokój;362000.0;33.16;10917.0;https://www.otodom.pl/oferta/apartament-sosnowiecka-wykonczony-ID44BSK.html#bcc2421ba9;2020-02-16 19:04:09.544990;Sosnowiecka;Kraków , Bronowice, Sosnowiecka;Sosnowiecka, Bronowice Wielkie, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 31-345, Polska;(50.092531, 19.8931526, 0.0);50.092531;19.8931526;0.0;POINT (563867.0684092317 247635.3261533063);4747;4707.681125271874;1266.1470601348715;10917.0
753;5 pokoi / 95 M 2 / Stare Miasto/ Józefa Dietla;Kraków , Stare Miasto;5 pokoi;740000.0;95.2;7773.0;https://www.otodom.pl/oferta/5-pokoi-95-m-2-stare-miasto-jozefa-dietla-ID442X0.html#bcc2421ba9;2020-02-16 19:04:09.544990;Józefa;Kraków , Stare Miasto, Józefa;Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-144, Polska;(50.0505267, 19.9441002, 0.0);50.050526700000006;19.9441002;0.0;POINT (567569.144390111 243011.3595584678);1243;458.04532244987297;126.88660448836863;7773.0
754;Widokowe dwupokojowe z jasną kuchnią Żabiniec;Kraków , Prądnik Biały;2 pokoje;480000.0;48.4;9917.0;https://www.otodom.pl/oferta/widokowe-dwupokojowe-z-jasna-kuchnia-zabiniec-ID44ERi.html#e7b1ebfb0e;2020-02-16 19:04:10.513465;Żabiniec;Kraków , Prądnik Biały, Żabiniec;Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-200, Polska;(50.0851745, 19.9473248, 0.0);50.0851745;19.9473248;0.0;POINT (567751.0951210554 246865.3778822608);2769;3550.730224797943;837.9336980038183;9917.0
755;Mieszkanie, 72 m², Kraków;Kraków , Stare Miasto;2 pokoje;795000.0;72.0;11042.0;https://www.otodom.pl/oferta/mieszkanie-72-m-krakow-ID44HYz.html#e7b1ebfb0e;2020-02-16 19:04:10.513465;"""Kraków""";"Kraków , Stare Miasto, ""Kraków""";Kraków, województwo małopolskie, Polska;(50.0619474, 19.9368564, 0.0);50.0619474;19.9368564;0.0;POINT (567034.7997178583 244274.2426178176);133;872.2474472817381;319.62554019029886;11042.0
756;Nowe, optymalne studio - doskonała komunikacja;Kraków , Prądnik Biały;1 pokój;276655.0;24.7;11201.0;https://www.otodom.pl/oferta/nowe-optymalne-studio-doskonala-komunikacja-ID44HY9.html#51e2ab8c8f;2020-02-16 19:04:11.502412;Nowe;Kraków , Prądnik Biały, Nowe;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.1035684, 19.953603106301202, 0.0);50.1035684;19.953603106301202;0.0;POINT (568173.9969429389 248915.5791220115);4863;5338.652157178643;2274.0248095643856;11201.0
757;Nowy, luksusowy - taras! widok! - Wiślane Tarasy;Kraków , Grzegórzki;3 pokoje;1036350.0;75.1;13800.0;https://www.otodom.pl/oferta/nowy-luksusowy-taras-widok-wislane-tarasy-ID44HV1.html#51e2ab8c8f;2020-02-16 19:04:11.502412;Nowy;Kraków , Grzegórzki, Nowy;Grzegórzki, Kraków, województwo małopolskie, Polska;(50.06497215, 19.968825516425383, 0.0);50.06497215;19.968825516425387;0.0;POINT (569317.8861738368 244639.6125098886);2244;1220.1694023106131;174.15996433188758;13800.0
758;Mieszkanie 3 pokojowe 53 m2 Kraków, Opatkowice;Kraków , Swoszowice, Opatkowice;3 pokoje;477000.0;53.0;9000.0;https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-53-m2-krakow-opatkowice-ID44HU1.html#51e2ab8c8f;2020-02-16 19:04:11.502412;Opatkowicka;Kraków , Swoszowice, Opatkowice, Opatkowicka;Opatkowicka, Opatkowice, Swoszowice, Kraków, województwo małopolskie, 30-499, Polska;(49.9836953, 19.9160164, 0.0);49.9836953;19.9160164;0.0;POINT (565650.2256588747 235558.0975218732);8738;6223.642018755963;3361.0890287627117;9000.0
759;Mochnackiego, 3-pokojowe;Kraków , Podgórze;3 pokoje;614000.0;63.39;9686.0;https://www.otodom.pl/oferta/mochnackiego-3-pokojowe-ID445g7.html#51e2ab8c8f;2020-02-16 19:04:11.502412;Mochnackiego;Kraków , Podgórze, Mochnackiego;Maurycego Mochnackiego, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-633, Polska;(50.0238917, 19.9632851, 0.0);50.0238917;19.963285100000004;0.0;POINT (568980.3356590548 240068.4229162214);4504;2673.74651204028;1017.628299780378;9686.0
760;Kraków, ul. Nuszkiewicza - 2 pokoje;Kraków , Prądnik Czerwony;2 pokoje;329000.0;34.17;9628.0;https://www.otodom.pl/oferta/krakow-ul-nuszkiewicza-2-pokoje-ID44HQP.html#51e2ab8c8f;2020-02-16 19:04:11.502412;Nuszkiewicza;Kraków , Prądnik Czerwony, Nuszkiewicza;Majora Ryszarda Nuszkiewicza, Prądnik Czerwony, Kraków, województwo małopolskie, 31-406, Polska;(50.0899248, 19.9603925, 0.0);50.0899248;19.9603925;0.0;POINT (568678.8710124422 247405.308977291);3591;3763.8323659166153;1755.9550836858796;9628.0
761;Jasne mieszkanie w ścisłym centrum Krakowa!!;Kraków , Stare Miasto;2 pokoje;399000.0;30.5;13082.0;https://www.otodom.pl/oferta/jasne-mieszkanie-w-scislym-centrum-krakowa-ID44E5J.html#51e2ab8c8f;2020-02-16 19:04:11.502412;Krakowa;Kraków , Stare Miasto, Krakowa;Muzeum Historyczne Miasta Krakowa, 35, Rynek Główny, Stare Miasto, Kraków, województwo małopolskie, 31-013, Polska;(50.0627747, 19.936496, 0.0);50.06277470000001;19.936496;0.0;POINT (567007.8599429791 244365.8735910403);225;945.9751988803415;250.9157178106114;13082.0
762;BEZPOŚREDNIO 3 pok, Ruczaj, os Europejskie, Piltza;Kraków , Dębniki;3 pokoje;630000.0;68.0;9265.0;https://www.otodom.pl/oferta/bezposrednio-3-pok-ruczaj-os-europejskie-piltza-ID44HPl.html#51e2ab8c8f;2020-02-16 19:04:11.502412;Piltza;Kraków , Dębniki, Piltza;Doktora Jana Piltza, Kobierzyn, Dębniki, Kraków, województwo małopolskie, 30-393, Polska;(50.0076191, 19.8888826, 0.0);50.0076191;19.8888826;0.0;POINT (563673.9910430006 238193.7397265434);6895;3354.26973623982;1153.0752248104839;9265.0
763;Mieszkanie 70m - BEZ POŚREDNIKÓW - ul. Torfowa;Kraków , Łagiewniki-Borek Fałęcki;3 pokoje;519000.0;70.0;7414.0;https://www.otodom.pl/oferta/mieszkanie-70m-bez-posrednikow-ul-torfowa-ID443s0.html#a4ecda7d5f;2020-02-16 19:04:12.677780;Torfowa;Kraków , Łagiewniki-Borek Fałęcki, Torfowa;Torfowa, Kobierzyn, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-384, Polska;(50.0174968, 19.9091415, 0.0);50.0174968;19.9091415;0.0;POINT (565111.8423839355 239309.0829508258);5258;2471.8659212297744;874.0782272581323;7414.0
