;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist;cena_za_metr2
211;Nowa inwest. 29 Aleja, ul. Prandoty,3 pok, bezpośr;Kraków , Prądnik Czerwony, Rakowice;3 pokoje;549000.0;62.47;8788.0;https://www.otodom.pl/oferta/nowa-inwest-29-aleja-ul-prandoty-3-pok-bezposr-ID4467F.html#85a7a68d57;2020-02-05 18:36:32.230254;Prandoty;Kraków, Kraków , Prądnik Czerwony, Rakowice, Prandoty;Biskupa Jana Prandoty, Warszawskie, Grzegórzki, Kraków, województwo małopolskie, 31-520, Polska;(50.0766319, 19.9553353, 0.0);50.0766319;19.9553353;0.0;POINT (568336.1269097649 245923.1639303183);2134;2629.9423926542586;307.0714567539071;8788.0
212;Przytulne, do wprowadzenia 39m Chełmońskiego;Kraków , Bronowice;2 pokoje;399000.0;39.01;10228.0;https://www.otodom.pl/oferta/przytulne-do-wprowadzenia-39m-chelmonskiego-ID44umI.html#85a7a68d57;2020-02-05 18:36:32.230254;Chełmońskiego;Kraków, Kraków , Bronowice, Chełmońskiego;Józefa Chełmońskiego, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-348, Polska;(50.0970811, 19.8942649, 0.0);50.0970811;19.8942649;0.0;POINT (563940.5492672679 248142.0244571455);5083;5180.239215701006;1776.1603844935773;10228.0
213;Witosa - jednopokojowe z balkonem;Kraków , Podgórze Duchackie, Kurdwanów;1 pokój;273500.0;34.0;8044.0;https://www.otodom.pl/oferta/witosa-jednopokojowe-z-balkonem-ID44umg.html#85a7a68d57;2020-02-05 18:36:32.230254;Witosa;Kraków, Kraków , Podgórze Duchackie, Kurdwanów, Witosa;Witosa, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, Polska;(50.01241645, 19.957117557158405, 0.0);50.01241645;19.957117557158405;0.0;POINT (568555.0158340409 238787.2895417269);5572;3695.0258458246126;21.62945584645865;8044.0
214;Mieszkanie, 80 m², Kraków;Kraków , Bronowice;3 pokoje;830000.0;80.0;10375.0;https://www.otodom.pl/oferta/mieszkanie-80-m-krakow-ID44mc2.html#85a7a68d57;2020-02-05 18:36:32.230254;"""Kraków""";"Kraków, Kraków , Bronowice, ""Kraków""";Kraków Mydlniki, Generała Bolesława Wieniawy-Długoszowskiego, Mydlniki, Bronowice, Kraków, województwo małopolskie, 30-149, Polska;(50.0835967, 19.8596997, 0.0);50.0835967;19.8596997;0.0;POINT (561486.3987794621 246614.2021077145);6127;4382.288756366058;1602.0884343832315;10375.0
215;Kameralne Z Tarasem I Ogródkiem, Chełmońskiego;Kraków , Prądnik Biały;2 pokoje;464000.0;60.68;7647.0;https://www.otodom.pl/oferta/kameralne-z-tarasem-i-ogrodkiem-chelmonskiego-ID43C7c.html#85a7a68d57;2020-02-05 18:36:32.230254;Chełmońskiego;Kraków, Kraków , Prądnik Biały, Chełmońskiego;Józefa Chełmońskiego, Osiedle Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-301, Polska;(50.0863097, 19.9139884, 0.0);50.0863097;19.9139884;0.0;POINT (565365.4233826527 246961.8507835707);3295;3652.7041968002363;1262.0078695203927;7647.0
216;2 pok. balkon, 50m, os Kolorowe, bezpośrednio;Kraków , Nowa Huta;2 pokoje;398500.0;50.0;7970.0;https://www.otodom.pl/oferta/2-pok-balkon-50m-os-kolorowe-bezposrednio-ID44aX5.html#c405a183df;2020-02-05 18:36:32.990435;Kolorowe;Kraków, Kraków , Nowa Huta, Kolorowe;Osiedle Kolorowe, Nowa Huta, Kraków, województwo małopolskie, Polska;(50.0742702, 20.0268877, 0.0);50.07427020000001;20.0268877;0.0;POINT (573457.8601426892 245728.5660282234);6514;1817.4628618557656;244.09388859853073;7970.0
217;Krowoderskich Zuchów 51m - nowa kuchnia i łazienka;Kraków , Prądnik Biały;3 pokoje;515000.0;51.06;10086.0;https://www.otodom.pl/oferta/krowoderskich-zuchow-51m-nowa-kuchnia-i-lazienka-ID43Rzp.html#c405a183df;2020-02-05 18:36:32.990435;Zuchów;Kraków, Kraków , Prądnik Biały, Zuchów;Krowoderskich Zuchów, Krowodrza, Prądnik Biały, Kraków, województwo małopolskie, 31-271, Polska;(50.0838836, 19.930691, 0.0);50.0838836;19.930691;0.0;POINT (566563.2797053672 246706.9391442938);2597;3205.109228395317;225.6837759607873;10086.0
218;Mochnackiego, 3-pokojowe do negocjacji;Kraków , Podgórze;3 pokoje;623000.0;63.39;9828.0;https://www.otodom.pl/oferta/mochnackiego-3-pokojowe-do-negocjacji-ID445g7.html#c405a183df;2020-02-05 18:36:32.990435;Mochnackiego;Kraków, Kraków , Podgórze, Mochnackiego;Maurycego Mochnackiego, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-633, Polska;(50.0238917, 19.9632851, 0.0);50.0238917;19.963285100000004;0.0;POINT (568980.3356590548 240068.4229162214);4504;2673.74651204028;1017.628299780378;9828.0
219;Grzegórzki Nowe Słoneczne 2 Pok/Oddzielna Kuchnia;Kraków , Grzegórzki;2 pokoje;559000.0;40.3;13871.0;https://www.otodom.pl/oferta/grzegorzki-nowe-sloneczne-2-pok-oddzielna-kuchnia-ID43UZN.html#c405a183df;2020-02-05 18:36:32.992584;Grzegórzeckie;Kraków, Kraków , Grzegórzki, Grzegórzeckie;Rondo Grzegórzeckie, Grzegórzecka, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31-539, Polska;(50.05760175, 19.957833465730346, 0.0);50.05760175;19.957833465730342;0.0;POINT (568541.9372308353 243810.2551311059);1465;532.1757339388414;8.926368849360403;13871.0
220;Jasne, przytulne 45m - Stelmachów;Kraków , Prądnik Biały;2 pokoje;420000.0;47.0;8936.0;https://www.otodom.pl/oferta/jasne-przytulne-45m-stelmachow-ID44u8p.html#c405a183df;2020-02-05 18:36:32.992584;Stelmachów;Kraków, Kraków , Prądnik Biały, Stelmachów;Stelmachów, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-341, Polska;(50.0948277, 19.9091697, 0.0);50.0948277;19.9091697;0.0;POINT (565009.286113151 247904.424918592);4287;4659.328978803016;1718.6089432234558;8936.0
221;Bezpośrednio, Kawalerka, Mistrzejowice;Kraków , Mistrzejowice;1 pokój;239000.0;27.48;8697.0;https://www.otodom.pl/oferta/bezposrednio-kawalerka-mistrzejowice-ID43m3i.html#c405a183df;2020-02-05 18:36:32.993582;Mistrzejowicka;Kraków, Kraków , Mistrzejowice, Mistrzejowicka;Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-638, Polska;(50.094553, 20.0276976, 0.0);50.09455300000001;20.027697600000003;0.0;POINT (573484.7766830486 247983.7896609381);7409;4036.62232110354;669.849927117978;8697.0
222;Apartament 79 m2 w Centrum Krakowa, ul. Retoryka;Kraków , Stare Miasto;2 pokoje;1100000.0;79.0;13924.0;https://www.otodom.pl/oferta/apartament-79-m2-w-centrum-krakowa-ul-retoryka-ID43BhZ.html#6c0ab70499;2020-02-05 18:36:34.257660;Krakowa;Kraków, Kraków , Stare Miasto, Krakowa;Muzeum Historyczne Miasta Krakowa, 35, Rynek Główny, Stare Miasto, Kraków, województwo małopolskie, 31-013, Polska;(50.0627747, 19.936496, 0.0);50.06277470000001;19.936496;0.0;POINT (567007.8599429791 244365.8735910403);225;945.9751988803415;250.9157178106114;13924.0
223;Ruczaj, Piltza, 4 pokoje, 70m2 z antresolą;Kraków , Dębniki, Ruczaj;4 pokoje;599000.0;70.0;8557.0;https://www.otodom.pl/oferta/ruczaj-piltza-4-pokoje-70m2-z-antresola-ID44u9n.html#6c0ab70499;2020-02-05 18:36:34.257660;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;8557.0
224;Sprzedam Mieszkanie Kraków, ul. Okulickiego;Kraków , Bieńczyce;2 pokoje;420000.0;51.0;8235.0;https://www.otodom.pl/oferta/sprzedam-mieszkanie-krakow-ul-okulickiego-ID44u9l.html#6c0ab70499;2020-02-05 18:36:34.257660;Okulickiego;Kraków, Kraków , Bieńczyce, Okulickiego;Generała Leopolda Okulickiego, Bieńczyce, Kraków, województwo małopolskie, 31-873, Polska;(50.0881722, 20.0043329, 0.0);50.0881722;20.0043329;0.0;POINT (571823.668221917 247251.8359452272);5616;3290.5079724176176;612.3783417887632;8235.0
225;Krowodrza, Prądnik Biały Azory, Przytulne 3-pokoje;Kraków , Prądnik Biały;3 pokoje;399000.0;44.0;9068.0;https://www.otodom.pl/oferta/krowodrza-pradnik-bialy-azory-przytulne-3-pokoje-ID44h20.html#6c0ab70499;2020-02-05 18:36:34.257660;Prądnika;Kraków, Kraków , Prądnik Biały, Prądnika;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.0955225, 19.9283169, 0.0);50.0955225;19.9283169;0.0;POINT (566377.4070532473 247998.4942823648);3900;4500.190004032419;779.7765063162345;9068.0
226;Al. 29 Listopada - świeżo po remoncie - 3 pokoje;Kraków , Prądnik Czerwony;3 pokoje;576000.0;60.0;9600.0;https://www.otodom.pl/oferta/al-29-listopada-swiezo-po-remoncie-3-pokoje-ID44gUp.html#6c0ab70499;2020-02-05 18:36:34.257660;Listopada;Kraków, Kraków , Prądnik Czerwony, Listopada;Aleja 29 Listopada, Rogatka Warszawska, Prądnik Czerwony, Kraków, województwo małopolskie, 31-426, Polska;(50.0859053, 19.9543585, 0.0);50.08590529999999;19.9543585;0.0;POINT (568253.087667641 246953.0098674828);3005;3617.434396401045;1311.646526399533;9600.0
227;2 pokoje, 38m2 przy ul. Okulickiego;Kraków , Mistrzejowice;2 pokoje;350000.0;38.0;9211.0;https://www.otodom.pl/oferta/2-pokoje-38m2-przy-ul-okulickiego-ID44u3y.html#6c0ab70499;2020-02-05 18:36:34.257660;Okulickiego;Kraków, Kraków , Mistrzejowice, Okulickiego;Okulickiego, Os. Akademickie PK, Osiedle Dywizjonu 303, Czyżyny, Kraków, województwo małopolskie, 31-866, Polska;(50.087129, 19.9950474, 0.0);50.087129;19.9950474;0.0;POINT (571161.1832852102 247126.9966402054);5002;3026.8641597043916;883.1169028644161;9211.0
228;PRESTIGE CITY - fantastyczne osiedle PROMOCJA !!!;Kraków , Swoszowice, Opatkowice;3 pokoje;377000.0;58.0;6500.0;https://www.otodom.pl/oferta/prestige-city-fantastyczne-osiedle-promocja-ID31H8u.html#6c0ab70499;2020-02-05 18:36:34.257660;Osiedle;Kraków, Kraków , Swoszowice, Opatkowice, Osiedle;Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-418, Polska;(50.0199633, 19.9294446, 0.0);50.0199633;19.929444600000004;0.0;POINT (566562.5010926846 239601.1100098249);4604;2822.079298482141;347.2226653433688;6500.0
229;Nowe piękne osiedle PROMOCJA !!!;Kraków , Podgórze;3 pokoje;340000.0;63.0;5397.0;https://www.otodom.pl/oferta/nowe-piekne-osiedle-promocja-ID31GU8.html#6c0ab70499;2020-02-05 18:36:34.257660;Osiedle;Kraków, Kraków , Podgórze, Osiedle;Podgórze, Kraków, województwo małopolskie, 30-537, Polska;(50.0430999, 19.9529614, 0.0);50.0430999;19.9529614;0.0;POINT (568213.855078951 242193.9243198894);2259;470.9595047880475;263.3467367020116;5397.0
230;Przestronne Dwupokojowe Idealne Dla Rodziny;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;429000.0;47.12;9104.0;https://www.otodom.pl/oferta/przestronne-dwupokojowe-idealne-dla-rodziny-ID44u1o.html#6c0ab70499;2020-02-05 18:36:34.257660;Rodziny;Kraków, Kraków , Podgórze Duchackie, Kurdwanów, Rodziny;Zgromadzenie Sióstr Najświętszej Rodziny z Nazaretu, Nazaretańska, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-647, Polska;(50.004329150000004, 19.965600339691825, 0.0);50.00432915;19.965600339691825;0.0;POINT (569174.2055526307 237896.2088104896);6603;4732.860238645701;1015.7808051652336;9104.0
231;Mistrzejowice - taras, 69m, 3-pok. do wejścia;Kraków , Mistrzejowice;3 pokoje;640000.0;69.0;9275.0;https://www.otodom.pl/oferta/mistrzejowice-taras-69m-3-pok-do-wejscia-ID44u0D.html#6c0ab70499;2020-02-05 18:36:34.261660;Mistrzejowicka;Kraków, Kraków , Mistrzejowice, Mistrzejowicka;Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-638, Polska;(50.094553, 20.0276976, 0.0);50.09455300000001;20.027697600000003;0.0;POINT (573484.7766830486 247983.7896609381);7409;4036.62232110354;669.849927117978;9275.0
232;Steam Park | Rakowicka | Stare Miasto | Studio;Kraków , Stare Miasto;1 pokój;398250.0;31.14;13500.0;https://www.otodom.pl/oferta/steam-park-rakowicka-stare-miasto-studio-ID44u0x.html#6c0ab70499;2020-02-05 18:36:34.261660;Rakowicka;Kraków, Kraków , Stare Miasto, Rakowicka;Rakowicka, Warszawskie, Grzegórzki, Kraków, województwo małopolskie, 31-511, Polska;(50.068229, 19.9525984, 0.0);50.068229;19.9525984;0.0;POINT (568152.2658953031 244986.6823723251);1316;1770.1987187994741;16.490531476898568;13500.0
233;Mieszkanie 1-pokojowe, ul Prandoty, 29aleja;Kraków , małopolskie;1 pokój;385000.0;32.21;11953.0;https://www.otodom.pl/oferta/mieszkanie-1-pokojowe-ul-prandoty-29aleja-ID44u0v.html#6c0ab70499;2020-02-05 18:36:34.261660;Prandoty;Kraków, Kraków , małopolskie, Prandoty;Biskupa Jana Prandoty, Warszawskie, Grzegórzki, Kraków, województwo małopolskie, 31-520, Polska;(50.0766319, 19.9553353, 0.0);50.0766319;19.9553353;0.0;POINT (568336.1269097649 245923.1639303183);2134;2629.9423926542586;307.0714567539071;11953.0
234;Mieszkanie, 31,14 m², Kraków;Kraków , Podgórze, Stare Podgórze;2 pokoje;539000.0;31.14;17309.0;https://www.otodom.pl/oferta/mieszkanie-31-14-m-krakow-ID41C7p.html#6c0ab70499;2020-02-05 18:36:34.261660;"""Kraków""";"Kraków, Kraków , Podgórze, Stare Podgórze, ""Kraków""";Kraków Płaszów, Peron 2 - moderniacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.03453270000001;19.9754459;0.0;POINT (569835.7166101226 241262.4502461329);3976;1929.7407419693795;161.26094241877416;15000.0
235;Ruczaj, 3-pokoje, ogródek;Kraków , Dębniki, Ruczaj;3 pokoje;539989.0;65.42;8254.0;https://www.otodom.pl/oferta/ruczaj-3-pokoje-ogrodek-ID44tXC.html#71686ea9d7;2020-02-05 18:36:35.560512;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;8254.0
236;Zabłocie, Nadwiślańska, Bulwary /2 pok /Eng;Kraków , Podgórze;2 pokoje;539000.0;32.0;16844.0;https://www.otodom.pl/oferta/zablocie-nadwislanska-bulwary-2-pok-eng-ID44tWk.html#71686ea9d7;2020-02-05 18:36:35.560512;Zabłocie;Kraków, Kraków , Podgórze, Zabłocie;Zabłocie, Podgórze, Kraków, województwo małopolskie, 30-705, Polska;(50.0510909, 19.9735024, 0.0);50.0510909;19.9735024;0.0;POINT (569672.6048377061 243101.0676127635);2764;85.35957135312616;481.0420837789601;15000.0
237;Mieszkanie 2 pokojowe, ul. Przewóz, Podgórze;Kraków , Podgórze;2 pokoje;470000.0;49.0;9592.0;https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-ul-przewoz-podgorze-ID44tSa.html#71686ea9d7;2020-02-05 18:36:35.564509;Przewóz;Kraków, Kraków , Podgórze, Przewóz;Przewóz, Podgórze, Kraków, województwo małopolskie, Polska;(50.0435196, 20.0712999, 0.0);50.0435196;20.0712999;0.0;POINT (576683.8029225916 242355.2836826611);9714;723.5798401563313;2393.6092791560272;9592.0
238;Os. Piastów 4 pokoje!;Kraków , małopolskie;4 pokoje;540000.0;70.0;7714.0;https://www.otodom.pl/oferta/os-piastow-4-pokoje-ID44tOL.html#71686ea9d7;2020-02-05 18:36:35.564509;Piastów;Kraków, Kraków , małopolskie, Piastów;Osiedle Piastów, Mistrzejowice, Kraków, województwo małopolskie, Polska;(50.0980554, 20.0171049949883, 0.0);50.0980554;20.0171049949883;0.0;POINT (572722.0722803086 248362.7125982968);6989;4386.783842162027;293.7137553000525;7714.0
239;Prądnik Czerwony Stan Deweloperski 56M2;Kraków , Prądnik Czerwony;3 pokoje;550000.0;56.0;9821.0;https://www.otodom.pl/oferta/pradnik-czerwony-stan-deweloperski-56m2-ID44tOJ.html#71686ea9d7;2020-02-05 18:36:35.564509;Prądnika;Kraków, Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.986793558960628;0.0;POINT (570561.786040339 247810.2744327188);5006;3677.9595062709154;707.4642569890632;9821.0
240;2 pokoje, 60m2 przy ul. Starowiślnej;Kraków , Stare Miasto, Kazimierz;2 pokoje;690000.0;60.0;11500.0;https://www.otodom.pl/oferta/2-pokoje-60m2-przy-ul-starowislnej-ID44tOF.html#71686ea9d7;2020-02-05 18:36:35.564509;Starowiślna;Kraków, Kraków , Stare Miasto, Kazimierz, Starowiślna;Starowiślna, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-038, Polska;(50.0560672, 19.9457877, 0.0);50.0560672;19.9457877;0.0;POINT (567682.1226694608 243628.7109473413);781;861.0404787494102;113.87371199977093;11500.0
241;1 pokój, 39m2 przy ul. Wincentego Turka;Kraków , Podgórze, Płaszów;1 pokój;372000.0;39.0;9538.0;https://www.otodom.pl/oferta/1-pokoj-39m2-przy-ul-wincentego-turka-ID44tOb.html#71686ea9d7;2020-02-05 18:36:35.564509;Wincentego;Kraków, Kraków , Podgórze, Płaszów, Wincentego;Księdza Wincentego Turka, Osiedle Zadworze, Podgórze, Kraków, województwo małopolskie, 30-717, Polska;(50.0476879, 19.987734, 0.0);50.04768789999999;19.987734;0.0;POINT (570696.1280807318 242736.1916515045);3847;872.33197210067;818.6425712761787;9538.0
242;1 pokój, 20m2 przy ul. Różyckiego;Kraków , Prądnik Biały, Azory;1 pokój;246000.0;20.0;12300.0;https://www.otodom.pl/oferta/1-pokoj-20m2-przy-ul-rozyckiego-ID44tO7.html#94595c66d0;2020-02-05 18:36:36.552858;Różyckiego;Kraków, Kraków , Prądnik Biały, Azory, Różyckiego;Różyckiego, Ludomira Różyckiego, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-324, Polska;(50.0884005, 19.9113115, 0.0);50.0884005;19.9113115;0.0;POINT (565171.1478053895 247191.9049494974);3593;3932.870973114242;1402.0526482971704;12300.0
243;ul. Wadowicka mieszkanie 2 pokojowe;Kraków , małopolskie;2 pokoje;388178.0;39.61;9800.0;https://www.otodom.pl/oferta/ul-wadowicka-mieszkanie-2-pokojowe-ID3YyFq.html#94595c66d0;2020-02-05 18:36:36.552858;Wadowicka;Kraków, Kraków , małopolskie, Wadowicka;Wadowicka, Mateczny, Podgórze, Kraków, województwo małopolskie, 30-415, Polska;(50.0350632, 19.9397264, 0.0);50.0350632;19.9397264;0.0;POINT (567277.7271268149 241288.6550673964);2887;1031.5976338585542;97.27661283788728;9800.0
244;Myśliwska Park, segment A, MD1;Kraków , Podgórze;6 pokoi;973029.0;177.56;5480.0;https://www.otodom.pl/oferta/mysliwska-park-segment-a-md1-ID42E3L.html#94595c66d0;2020-02-05 18:36:36.552858;Myśliwska;Kraków, Kraków , Podgórze, Myśliwska;Myśliwska, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-715, Polska;(50.0461528, 19.9884956, 0.0);50.0461528;19.9884956;0.0;POINT (570752.8947265603 242566.2871843819);3965;910.0943836294437;646.5060380976025;5480.0
245;Myśliwska Park, segment A, MD2;Kraków , Podgórze;6 pokoi;973029.0;177.56;5480.0;https://www.otodom.pl/oferta/mysliwska-park-segment-a-md2-ID42FZW.html#94595c66d0;2020-02-05 18:36:36.552858;Myśliwska;Kraków, Kraków , Podgórze, Myśliwska;Myśliwska, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-715, Polska;(50.0461528, 19.9884956, 0.0);50.0461528;19.9884956;0.0;POINT (570752.8947265603 242566.2871843819);3965;910.0943836294437;646.5060380976025;5480.0
246;Myśliwska Park, segment A, MD3;Kraków , Podgórze;6 pokoi;973029.0;177.56;5480.0;https://www.otodom.pl/oferta/mysliwska-park-segment-a-md3-ID42G00.html#94595c66d0;2020-02-05 18:36:36.552858;Myśliwska;Kraków, Kraków , Podgórze, Myśliwska;Myśliwska, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-715, Polska;(50.0461528, 19.9884956, 0.0);50.0461528;19.9884956;0.0;POINT (570752.8947265603 242566.2871843819);3965;910.0943836294437;646.5060380976025;5480.0
247;Myśliwska Park, segment A, MD6;Kraków , Podgórze;6 pokoi;973029.0;177.56;5480.0;https://www.otodom.pl/oferta/mysliwska-park-segment-a-md6-ID42G0a.html#94595c66d0;2020-02-05 18:36:36.552858;Myśliwska;Kraków, Kraków , Podgórze, Myśliwska;Myśliwska, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-715, Polska;(50.0461528, 19.9884956, 0.0);50.0461528;19.9884956;0.0;POINT (570752.8947265603 242566.2871843819);3965;910.0943836294437;646.5060380976025;5480.0
248;Myśliwska Park, segment A, MD8;Kraków , Podgórze;6 pokoi;973029.0;177.56;5480.0;https://www.otodom.pl/oferta/mysliwska-park-segment-a-md8-ID42G0b.html#94595c66d0;2020-02-05 18:36:36.552858;Myśliwska;Kraków, Kraków , Podgórze, Myśliwska;Myśliwska, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-715, Polska;(50.0461528, 19.9884956, 0.0);50.0461528;19.9884956;0.0;POINT (570752.8947265603 242566.2871843819);3965;910.0943836294437;646.5060380976025;5480.0
249;Nowoczesne 2 pok. - Apartamenty Wielicka;Kraków , Bieżanów-Prokocim;2 pokoje;462600.0;48.7;9499.0;https://www.otodom.pl/oferta/nowoczesne-2-pok-apartamenty-wielicka-ID44tMZ.html#94595c66d0;2020-02-05 18:36:36.552858;Wielicka;Kraków, Kraków , Bieżanów-Prokocim, Wielicka;Wielicka, Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-820, Polska;(50.0180993, 19.9895841, 0.0);50.0180993;19.9895841;0.0;POINT (570872.0827279496 239449.2013470018);6027;3320.4982150760425;93.43351950150013;9499.0
250;Duże mieszkanie 3pok. 63m Krowodrza Wrocławska;Kraków , Krowodrza;3 pokoje;679000.0;62.75;10821.0;https://www.otodom.pl/oferta/duze-mieszkanie-3pok-63m-krowodrza-wroclawska-ID44tKP.html#94595c66d0;2020-02-05 18:36:36.552858;Wrocławska;Kraków, Kraków , Krowodrza, Wrocławska;Wrocławska, Stara Krowodrza, Krowodrza, Kraków, województwo małopolskie, 30-006, Polska;(50.0764315, 19.9281731, 0.0);50.0764315;19.9281731;0.0;POINT (566393.4934839678 245876.3961282093);1854;2380.093199058222;680.2580438562595;10821.0
251;Po Remoncie, Z Balkonem W Os. Niepedległości;Kraków , Podgórze;2 pokoje;360000.0;40.0;9000.0;https://www.otodom.pl/oferta/po-remoncie-z-balkonem-w-os-niepedleglosci-ID44tHy.html#94595c66d0;2020-02-05 18:36:36.552858;Niepodległości;Kraków, Kraków , Podgórze, Niepodległości;Plac Niepodległości, Podgórze, Kraków, województwo małopolskie, Polska;(50.0432596, 19.94741616182973, 0.0);50.0432596;19.947416161829725;0.0;POINT (567816.7031289837 242206.6286632959);2084;242.2306048600776;68.56368408188257;9000.0
252;Mieszkanie 3 pok. Ruczaj;Kraków , Dębniki;3 pokoje;629000.0;80.0;7863.0;https://www.otodom.pl/oferta/mieszkanie-3-pok-ruczaj-ID44tGO.html#94595c66d0;2020-02-05 18:36:36.552858;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;7863.0
253;Kawalerka 23,5 m2 Bieńczyce Rondo Piastowskie;Kraków , Bieńczyce;1 pokój;225000.0;39.61;9574.0;https://www.otodom.pl/oferta/kawalerka-23-5-m2-bienczyce-rondo-piastowskie-ID44tGN.html#94595c66d0;2020-02-05 18:36:36.552858;Bieńczyckie;Kraków, Kraków , Bieńczyce, Bieńczyckie;Planty Bieńczyckie, Bieńczyce, Kraków, województwo małopolskie, 31-845, Polska;(50.08937935, 20.011360169078962, 0.0);50.08937935;20.01136016907896;0.0;POINT (572324.3890057353 247392.7915977798);6113;3468.458709960615;457.798506212582;9574.0
254;Kawalerka 32,5 m2 Nowa Huta Zalew Nowohucki;Kraków , Nowa Huta;1 pokój;280000.0;32.5;8615.0;https://www.otodom.pl/oferta/kawalerka-32-5-m2-nowa-huta-zalew-nowohucki-ID44tGM.html#94595c66d0;2020-02-05 18:36:36.552858;Nowohucka;Kraków, Kraków , Nowa Huta, Nowohucka;Śmietanka nowohucka, Osiedle Centrum E, Nowa Huta, Kraków, województwo małopolskie, 31-934, Polska;(50.0706803, 20.0379399, 0.0);50.07068029999999;20.0379399;0.0;POINT (574254.0019833023 245340.476741639);7214;1879.6412317376262;76.36242335089837;8615.0
255;Kazimierz apartament 40m2 wysoki standard parter;Kraków , Stare Miasto;2 pokoje;599000.0;40.0;14975.0;https://www.otodom.pl/oferta/kazimierz-apartament-40m2-wysoki-standard-parter-ID44tGA.html#94595c66d0;2020-02-05 18:36:36.552858;Kazimierza;Kraków, Kraków , Stare Miasto, Kazimierza;Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska;(50.0648696, 19.936230887154693, 0.0);50.0648696;19.936230887154693;0.0;POINT (566985.9733360073 244598.4836738249);448;1158.4511780145535;228.73946884946844;14975.0
256;Piękne mieszkanie 46m2 Prądnik Czerwony;Kraków , Prądnik Czerwony;2 pokoje;424000.0;46.0;9217.0;https://www.otodom.pl/oferta/piekne-mieszkanie-46m2-pradnik-czerwony-ID44tGz.html#94595c66d0;2020-02-05 18:36:36.556858;Prądnika;Kraków, Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.986793558960628;0.0;POINT (570561.786040339 247810.2744327188);5006;3677.9595062709154;707.4642569890632;9217.0
257;Mieszkanie, 180 m², Kraków;Kraków , Dębniki;4 pokoje;799000.0;180.0;4439.0;https://www.otodom.pl/oferta/mieszkanie-180-m-krakow-ID43R9s.html#bf808082ef;2020-02-05 18:36:37.691346;"""Kraków""";"Kraków, Kraków , Dębniki, ""Kraków""";Kraków Sidzina, Topografów, Sidzina, Dębniki, Kraków, województwo małopolskie, 30-399, Polska;(49.9855309, 19.8746169, 0.0);49.9855309;19.8746169;0.0;POINT (562680.8089087415 235726.6111213788);9535;5855.212244920903;3754.3465494554416;4439.0
