;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;pietro;l_pieter;rok_bud;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
56,50 m²;Mieszkanie 3 pokoje wysoki standard Prądnik Biały;Kraków , Prądnik Biały;3 pokoje;600000.0;56.5;10619.0;https://www.otodom.pl/oferta/mieszkanie-3-pokoje-wysoki-standard-pradnik-bialy-ID44Otr.html#51e2ab8c8f;2020-02-23 10:11:14.269879;7.0;8.0;2014.0;Prądnicka;Kraków , Prądnik Biały, Prądnicka;Prądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-202, Polska;(50.0875229, 19.9385333, 0.0);50.0875229;19.9385333;0.0;POINT (567119.0717439586 247118.4659837764)
26,56 m²;1 Pok. | Rakowicka | Novum II | Stare Miasto |Eng.;Kraków , Stare Miasto;1 pokój;355500.0;26.56;13385.0;https://www.otodom.pl/oferta/1-pok-rakowicka-novum-ii-stare-miasto-eng-ID44Otd.html#51e2ab8c8f;2020-02-23 10:11:18.942389;0.0;6.0;2019.0;Rakowicka;Kraków , Stare Miasto, Rakowicka;Rakowicka, Warszawskie, Grzegórzki, Delegatura Kraków-Śródmieście, Kraków, województwo małopolskie, 31-520, Polska;(50.0751438, 19.9577519, 0.0);50.0751438;19.9577519;0.0;POINT (568511.1065507758 245759.9750759406)
32,22 m²;Słoneczna kawalerka w sąsiedztwie Ronda Matecznego;Kraków , Podgórze;1 pokój;330000.0;32.22;10242.0;https://www.otodom.pl/oferta/sloneczna-kawalerka-w-sasiedztwie-ronda-matecznego-ID44GNl.html#51e2ab8c8f;2020-02-23 10:11:21.305803;3.0;4.0;1975.0;Słoneczne;Kraków , Podgórze, Słoneczne;Słoneczne Miasteczko, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska;(50.01992195, 20.056424288413524, 0.0);50.01992195;20.056424288413524;0.0;POINT (575656.0931287106 239717.2828907873)
70 m²;Kraków, Kazimierza Wlk 70m2 od właściciela!;Kraków , Krowodrza;4 pokoje;655000.0;70.0;9357.0;https://www.otodom.pl/oferta/krakow-kazimierza-wlk-70m2-od-wlasciciela-ID43Pvu.html#51e2ab8c8f;2020-02-23 10:11:25.742879;4.0;5.0;1994.0;Kazimierza;Kraków , Krowodrza, Kazimierza;Kinesis Rehabilitacja Kraków, 57, Kazimierza Wielkiego, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-074, Polska;(50.073573, 19.9193678, 0.0);50.073573;19.9193678;0.0;POINT (565767.5578813277 245550.8849675544)
62 m²;Okazja! Mieszkanie 62m2. Krakow, ul. Halszki.;Kraków , Podgórze Duchackie, Kurdwanów;3 pokoje;490000.0;62.0;7903.0;https://www.otodom.pl/oferta/okazja-mieszkanie-62m2-krakow-ul-halszki-ID44O8A.html#51e2ab8c8f;2020-02-23 10:11:28.904191;0.0;4.0;1985.0;Halszki;Kraków , Podgórze Duchackie, Kurdwanów, Halszki;Halszki, Kurdwanów, Podgórze Duchackie, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, Polska;(50.0056624, 19.949616272633136, 0.0);50.0056624;19.949616272633136;0.0;POINT (568027.2667013287 238029.735046762)
67 m²;Ładne Słoneczne Zadbane Z Tarasem Kobierzyn;Kraków , Dębniki, Kobierzyn;3 pokoje;575000.0;67.0;8582.0;https://www.otodom.pl/oferta/ladne-sloneczne-zadbane-z-tarasem-kobierzyn-ID43vdH.html#51e2ab8c8f;2020-02-23 10:11:33.512418;0.0;3.0;2010.0;Słoneczne;Kraków , Dębniki, Kobierzyn, Słoneczne;FUP Kraków 11, Wojciecha Marii Bartla, Kobierzyn, Dębniki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-389, Polska;(49.9988969, 19.8958089, 0.0);49.9988969;19.8958089;0.0;POINT (564181.7536297874 237230.1971481992)
40,30 m²;Grzegórzki Nowe Słoneczne 2 Pok/Oddzielna Kuchnia;Kraków , Grzegórzki;2 pokoje;559000.0;40.3;13871.0;https://www.otodom.pl/oferta/grzegorzki-nowe-sloneczne-2-pok-oddzielna-kuchnia-ID43UZN.html#51e2ab8c8f;2020-02-23 10:11:36.908622;4.0;7.0;2019.0;Grzegórzecka;Kraków , Grzegórzki, Grzegórzecka;Grzegórzecka, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31532, Polska;(50.0587885, 19.9500605, 0.0);50.0587885;19.9500605;0.0;POINT (567984.0407130375 243935.0611747131)
80 m²;Słoneczne Ciche Duże Balkon Taras Komórka Dębniki;Kraków , Dębniki;3 pokoje;720000.0;80.0;9000.0;https://www.otodom.pl/oferta/sloneczne-ciche-duze-balkon-taras-komorka-debniki-ID44mPE.html#51e2ab8c8f;2020-02-23 10:11:38.215441;3.0;4.0;2006.0;Słoneczne;Kraków , Dębniki, Słoneczne;Słoneczne Kliny, Dębniki, Kraków, województwo małopolskie, 30-389, Polska;(50.0007588, 19.8913445, 0.0);50.0007588;19.8913445;0.0;POINT (563859.4321044431 237433.3236511061)
38 m²;Kazimierz / ok. Św. Wawrzyńca 38m2, 2pok, IV p !;Kraków , Stare Miasto, Kazimierz;2 pokoje;495000.0;38.0;13026.0;https://www.otodom.pl/oferta/kazimierz-ok-sw-wawrzynca-38m2-2pok-iv-p-ID43HIR.html#a4ecda7d5f;2020-02-23 10:11:44.800273;4.0;5.0;1920.0;Kazimierza;Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.0512307;19.9469375;0.0;POINT (567771.2149040747 243092.1779909022)
37,85 m²;Do wprowadzenia 38m Chełmońskiego;Kraków , Bronowice;2 pokoje;413000.0;37.85;10911.0;https://www.otodom.pl/oferta/do-wprowadzenia-38m-chelmonskiego-ID44DRY.html#a4ecda7d5f;2020-02-23 10:11:50.009068;1.0;2.0;2008.0;Chełmońskiego;Kraków , Bronowice, Chełmońskiego;Józefa Chełmońskiego, Bronowice Wielkie, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 31-346, Polska;(50.0983351, 19.890461, 0.0);50.0983351;19.890461;0.0;POINT (563666.9097622773 248278.1576568913)
