57,60 m²;ZIELONKI !! Popielate Wzgórza 2.0!! II ETAP !!;Kraków , Prądnik Biały;3 pokoje;409 000 zł;57,60 m²;7 101 zł/m²;https://www.otodom.pl/oferta/zielonki-popielate-wzgorza-2-0-ii-etap-ID40Mtj.html#de3f47c1fe;2020-02-23 10:10:00.029821;0;2;2019
45 m²;Mieszkanie, 45 m², Kraków;Kraków , Prądnik Czerwony;2 pokoje;440 000 zł;45 m²;9 778 zł/m²;https://www.otodom.pl/oferta/mieszkanie-45-m-krakow-ID44Mwo.html#bcc2421ba9;2020-02-23 10:10:03.315580;5;8;2009
47 m²;Kraków Nowa Huta;Kraków , Nowa Huta;2 pokoje;350 000 zł;47 m²;7 447 zł/m²;https://www.otodom.pl/oferta/krakow-nowa-huta-ID44Mku.html#bcc2421ba9;2020-02-23 10:10:05.218518;1;7;1965
68 m²;BEZPOŚREDNIO 3 pok, Ruczaj, os Europejskie, Piltza;Kraków , Dębniki;3 pokoje;630 000 zł;68 m²;9 265 zł/m²;https://www.otodom.pl/oferta/bezposrednio-3-pok-ruczaj-os-europejskie-piltza-ID44HPl.html#bcc2421ba9;2020-02-23 10:10:06.377127;;;
23,10 m²;Przytulne mieszkanie z antresolą przy Ariańskiej;Kraków , Grzegórzki;1 pokój;327 000 zł;23,10 m²;14 156 zł/m²;https://www.otodom.pl/oferta/przytulne-mieszkanie-z-antresola-przy-arianskiej-ID44Hyp.html#bcc2421ba9;2020-02-23 10:10:07.229665;0;3;1930
63 m²;Nowe 3 pok do zamieszkania, bezpośrednio, 63m2;Kraków , Krowodrza, Łobzów;3 pokoje;680 000 zł;63 m²;10 794 zł/m²;https://www.otodom.pl/oferta/nowe-3-pok-do-zamieszkania-bezposrednio-63m2-ID44pAZ.html#bcc2421ba9;2020-02-23 10:10:08.237498;3;3;2018
41,75 m²;2 pokojowe mieszkanie z tarasem. PROMOCYJNA CENA;Kraków , Prądnik Biały;2 pokoje;363 225 zł;41,75 m²;8 700 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-z-tarasem-promocyjna-cena-ID44OHa.html#bcc2421ba9;2020-02-23 10:10:09.093713;;;
81,50 m²;Przepiękny Apartament 5-pokoi Nowy Bieżanów;Kraków , Stare Miasto, Nowy Świat;5 pokoi;625 000 zł;81,50 m²;7 669 zł/m²;https://www.otodom.pl/oferta/przepiekny-apartament-5-pokoi-nowy-biezanow-ID43Hnl.html#bcc2421ba9;2020-02-23 10:10:10.505724;2;4;1970
45 m²;Sprzedam 45 m2 Czyżyny 2 Pułku Lotniczego;Kraków , Nowa Huta, Czyżyny;1 pokój;429 000 zł;45 m²;9 533 zł/m²;https://www.otodom.pl/oferta/sprzedam-45-m2-czyzyny-2-pulku-lotniczego-ID44AOW.html#bcc2421ba9;2020-02-23 10:10:11.622077;1;7;2000
63 m²;2 pokoje, osobna kuchnia, 63 m2, Kraków Rydlówka;Kraków , Podgórze;2 pokoje;598 437 zł;63 m²;9 499 zł/m²;https://www.otodom.pl/oferta/2-pokoje-osobna-kuchnia-63-m2-krakow-rydlowka-ID44Bhy.html#bcc2421ba9;2020-02-23 10:10:12.395310;0;6;2008
